run_id,input_file,time_limit,algorithm,task,RTA_WCRT_raw,RTA_WCRT_ceil,max_observed_rt,deadline_misses
2026-03-08 12:58:52,tasks\course_tasksets\output\unifast-utilDist\uniform-discrete-perDist\1-core\25-task\0-jitter\0.10-util\tasksets\uniform-discrete_3.csv,200000,EDF,T6,630.00,630,630,0
2026-03-08 12:58:52,tasks\course_tasksets\output\unifast-utilDist\uniform-discrete-perDist\1-core\25-task\0-jitter\0.10-util\tasksets\uniform-discrete_3.csv,200000,EDF,T7,747.00,747,747,0
2026-03-08 12:58:52,tasks\course_tasksets\output\unifast-utilDist\uniform-discrete-perDist\1-core\25-task\0-jitter\0.10-util\tasksets\uniform-discrete_3.csv,200000,EDF,T8,776.00,776,776,0
2026-03-08 12:58:52,tasks\course_tasksets\output\unifast-utilDist\uniform-discrete-perDist\1-core\25-task\0-jitter\0.10-util\tasksets\uniform-discrete_3.csv,200000,EDF,T9,938.00,938,938,0
2026-03-08 12:58:52,tasks\course_tasksets\output\unifast-utilDist\uniform-discrete-perDist\1-core\25-task\0-jitter\0.10-util\tasksets\uniform-discrete_3.csv,200000,EDF,T10,1395.00,1395,1395,0
2026-03-08 12:58:52,tasks\course_tasksets\output\unifast-utilDist\uniform-discrete-perDist\1-core\25-task\0-jitter\0.10-util\tasksets\uniform-discrete_3.csv,200000,EDF,T11,1540.00,1540,1540,0
2026-03-08 12:58:52,tasks\course_tasksets\output\unifast-utilDist\uniform-discrete-perDist\1-core\25-task\0-jitter\0.10-util\tasksets\uniform-discrete_3.csv,200000,EDF,T12,1611.00,1611,1611,0
2026-03-08 12:58:52,tasks\course_tasksets\output\unifast-utilDist\uniform-discrete-perDist\1-core\25-task\0-jitter\0.10-util\tasksets\uniform-discrete_3.csv,200000,EDF,T13,1620.00,1620,1620,0
2026-03-08 12:58:52,tasks\course_tasksets\output\unifast-utilDist\uniform-discrete-perDist\1-core\25-task\0-jitter\0.10-util\tasksets\uniform-discrete_3.csv,200000,EDF,T14,2093.00,2093,2093,0
2026-03-08 12:58:52,tasks\course_tasksets\output\unifast-utilDist\uniform-discrete-perDist\1-core\25-task\0-jitter\0.10-util\tasksets\uniform-discrete_3.csv,200000,EDF,T15,2439.00,2439,2439,0
2026-03-08 12:58:52,tasks\course_tasksets\output\unifast-utilDist\uniform-discrete-perDist\1-core\25-task\0-jitter\0.10-util\tasksets\uniform-discrete_3.csv,200000,EDF,T16,2451.00,2451,2451,0
2026-03-08 12:58:52,tasks\course_tasksets\output\unifast-utilDist\uniform-discrete-perDist\1-core\25-task\0-jitter\0.10-util\tasksets\uniform-discrete_3.csv,200000,EDF,T17,2584.00,2584,2584,0
2026-03-08 12:58:52,tasks\course_tasksets\output\unifast-utilDist\uniform-discrete-perDist\1-core\25-task\0-jitter\0.10-util\tasksets\uniform-discrete_3.csv,200000,EDF,T18,2970.00,2970,2970,0
2026-03-08 12:58:52,tasks\course_tasksets\output\unifast-utilDist\uniform-discrete-perDist\1-core\25-task\0-jitter\0.10-util\tasksets\uniform-discrete_3.csv,200000,EDF,T19,3550.00,3550,3550,0
2026-03-08 12:58:52,tasks\course_tasksets\output\unifast-utilDist\uniform-discrete-perDist\1-core\25-task\0-jitter\0.10-util\tasksets\uniform-discrete_3.csv,200000,EDF,T20,3617.00,3617,3617,0
2026-03-08 12:58:52,tasks\course_tasksets\output\unifast-utilDist\uniform-discrete-perDist\1-core\25-task\0-jitter\0.10-util\tasksets\uniform-discrete_3.csv,200000,EDF,T21,3815.00,3815,3815,0
2026-03-08 12:58:52,tasks\course_tasksets\output\unifast-utilDist\uniform-discrete-perDist\1-core\25-task\0-jitter\0.10-util\tasksets\uniform-discrete_3.csv,200000,EDF,T22,3908.00,3908,3908,0
2026-03-08 12:58:52,tasks\course_tasksets\output\unifast-utilDist\uniform-discrete-perDist\1-core\25-task\0-jitter\0.10-util\tasksets\uniform-discrete_3.csv,200000,EDF,T23,4133.00,4133,4133,0
2026-03-08 12:58:52,tasks\course_tasksets\output\unifast-utilDist\uniform-discrete-perDist\1-core\25-task\0-jitter\0.10-util\tasksets\uniform-discrete_3.csv,200000,EDF,T24,4618.00,4618,4618,0
2026-03-08 12:58:59,tasks\course_tasksets\output\unifast-utilDist\uniform-discrete-perDist\1-core\25-task\0-jitter\0.10-util\tasksets\uniform-discrete_4.csv,200000,EDF,T0,93.00,93,93,0
2026-03-08 12:58:59,tasks\course_tasksets\output\unifast-utilDist\uniform-discrete-perDist\1-core\25-task\0-jitter\0.10-util\tasksets\uniform-discrete_4.csv,200000,EDF,T1,180.00,180,180,0
2026-03-08 12:58:59,tasks\course_tasksets\output\unifast-utilDist\uniform-discrete-perDist\1-core\25-task\0-jitter\0.10-util\tasksets\uniform-discrete_4.csv,200000,EDF,T2,253.00,253,253,0
